case_id,eventlog_edit_distance,policy_edit_distance,sequence_length,eventlog_normalized_distance,policy_normalized_distance
Application_854524772,0,0,31,0.0,0.0
Application_857715587,0,0,18,0.0,0.0
Application_862160604,0,0,26,0.0,0.0
Application_864903752,0,0,45,0.0,0.0
Application_895241174,0,0,36,0.0,0.0
Application_901793095,0,0,40,0.0,0.0
Application_909491524,0,0,42,0.0,0.0
Application_914660918,0,0,30,0.0,0.0
Application_920048730,0,0,25,0.0,0.0
Application_927205634,0,0,40,0.0,0.0
Application_930742634,0,0,43,0.0,0.0
Application_931862671,0,0,31,0.0,0.0
Application_93597308,0,0,60,0.0,0.0
Application_948316229,0,0,76,0.0,0.0
Application_952532843,0,0,35,0.0,0.0
Application_980495316,0,0,51,0.0,0.0
Application_987262285,0,0,36,0.0,0.0
